question,answer,category
Hello,Hello how can I help you today,General
Hi,Hi there how may I assist you,General
Good morning,Good morning how can I help you,General
Good evening,Good evening how can I help you,General
How are you,I am functioning perfectly how can I assist you,General

What are the admission dates,Admissions are open from 1st June to 31st July every year,Admissions
How can I apply for admission,You can apply online through the official admission portal,Admissions
What are the documents required for admission,You need mark sheets ID proof photographs and transfer certificate,Admissions
Does IILM have management quota seats,Yes limited management quota seats are available contact the admission office for details,Admissions
What is the admission process,Fill the form submit documents appear for counseling and complete fee payment,Admissions

What is the tuition fee,The tuition fee is around 50000 rupees per semester,Fees
Is there any scholarship for meritorious students,Yes merit based scholarships are available based on academic performance,Finance
Do I have to pay fees online or offline,Both online and offline payment options are available at IILM,Fees
What is the hostel fee,Hostel fee is approximately 70000 per year including mess charges,Hostel
Is the fee refundable,Refund policy follows UGC guidelines contact the accounts office,Fees

Where is the library located,The library is located in Building A on the ground floor,Campus
What are the library timings,The library is open from 9 AM to 8 PM on working days,Campus
How many books can I issue,Students can issue up to 3 books at a time,Campus
Is there digital library access,Yes digital journals and e books are available through the IILM portal,Campus
What are the library rules,Maintain silence return books on time and carry your ID card,Campus

Where is the computer lab,The computer lab is located in Block B first floor,IT
How to access campus WiFi,Register your device at the IT helpdesk using your student credentials,IT
WiFi is not working what should I do,Visit the IT helpdesk in Block B for support,IT
How to reset my student portal password,Click on forgot password option on the student portal and follow instructions,IT
Does IILM provide laptops,The college does not provide laptops but offers student discounts on select brands,IT

How do I contact the placement cell,Email placement@iilm.edu or visit Block C Room 12,Placement
What is the placement record,Placement percentage varies by program but average ranges between 80 to 90 percent,Placement
Which companies visit for placements,Top recruiters include Infosys Wipro TCS Deloitte and HCL,Placement
Is internship compulsory,Yes internships are mandatory for most undergraduate programs,Placement
How to apply for internships,Check the placement portal for available internships and apply directly,Placement

When are semester exams held,Exams are typically held in December and May every year,Exams
Where to download exam timetable,Timetables are available on the student portal under the exam section,Exams
Who is the exam controller,The exam controller is Professor A Kumar,Exams
How do I apply for re evaluation,Submit a re evaluation form at the exam office with applicable fees,Exams
How to get duplicate marksheet,Apply at the exam office and pay a small processing fee,Exams

How to apply for hostel,You can apply for hostel accommodation through the student portal,Hostel
What are hostel rules,Hostel residents must follow timing rules maintain discipline and attend roll calls,Hostel
Is hostel mess compulsory,Yes mess facility is included for hostel residents,Hostel
Can I choose my roommate,Roommate requests are considered depending on availability,Hostel
Is laundry service available,Yes laundry services are available inside the hostel premises,Hostel

Is there medical help on campus,Yes a medical room and a nurse are available in Building B,Campus
Is there a canteen on campus,Yes the canteen is near the main gate and open from 8 AM to 7 PM,Campus
Where is the sports ground,The sports ground is behind Block C,Campus
Which sports are available,Football basketball badminton table tennis cricket and volleyball are available,Campus
Are there cultural events,Yes the college hosts festivals and cultural competitions every semester,Campus

How to download my timetable,Timetables are available on the student portal,Academics
How to register for courses,Course registration happens through the student portal during registration week,Academics
What is the attendance requirement,A minimum of 75 percent attendance is required to appear in exams,Academics
How to check attendance,Attendance details are available on the student portal,Academics
What is the grading system,IILM follows a credit based grading system with letter grades,Academics

What are office timings,The administrative office is open from 9 AM to 5 PM,Administration
How can I contact the principal,Email principal@iilm.edu or visit the admin office,Administration
Where is the admin block,The admin block is next to the main entrance gate,Administration
How to get a bonafide certificate,Submit a request form at the admin office processing takes 2 working days,Administration
How to report an issue,You can report any issue to the student helpdesk or email support@iilm.edu,General

Is there transport facility,Yes buses operate across major routes of the city,Transport
How to get a bus pass,Apply at the transport office with your ID card,Transport
What if I miss the college bus,You must arrange your own transport in such cases,Transport
Where is the bus pickup point,The pickup and drop point is near the main gate,Transport
Is parking available for students,Yes parking is available for two wheelers with a valid ID,Transport

What is the dress code,Students are expected to dress neatly and appropriately,General
Is ragging allowed,Ragging is strictly prohibited with zero tolerance policy,Discipline
How to file a complaint anonymously,You can use the online grievance form on the college website,Discipline
Where is lost and found,Lost and found items are kept in the admin office,General
Can parents meet faculty,Yes parents can meet faculty during visiting hours,General
